id,title,area,phase,depends_on,status,priority,owner,max_retries,retry_count,blocked_reason,dod
"DOC-001","Create architecture ADR index","doc","phase0","","done","P0","codex","3","0","","`docs/adr/README.md` with numbering and template"
"DOC-002","Write product scope contract v1","doc","phase0","DOC-001","done","P0","codex","3","0","","Scope doc lists in/out items and acceptance criteria"
"DOC-003","Write Obsidian compatibility matrix","doc","phase0","DOC-001","done","P0","codex","3","0","","Matrix covers links, properties, bases, markdown subset"
"DOC-004","Write SDK API surface spec","doc","phase0","DOC-001","done","P0","codex","3","0","","Typed interface doc for all read/write/system APIs"
"DOC-005","Write error code catalog","doc","phase0","DOC-004","done","P0","codex","3","0","","Stable error code table with remediation hints"
"DOC-006","Write performance budget contract","doc","phase0","DOC-001","done","P0","codex","3","0","","Budget doc checked into repo and referenced by CI"
"ARC-001","Define workspace crate boundaries","arc","phase0","DOC-002","done","P0","codex","3","0","","`Cargo.toml` workspace members and crate docs committed"
"ARC-002","Define Swift app module boundaries","arc","phase0","DOC-002","done","P0","codex","3","0","","Xcode project module map documented"
"ARC-003","Define bridge DTO contracts","arc","phase0","DOC-004","done","P0","codex","3","0","","Shared DTO schema and versioning policy committed"
"ARC-004","Define event model for index updates","arc","phase0","ARC-003","done","P0","codex","3","0","","Event types and payload contracts documented"
"ARC-005","Define resolver tie-break algorithm","arc","phase0","DOC-003","done","P0","codex","3","0","","Deterministic resolver spec with ambiguity policy"
"ARC-006","Define migration/versioning strategy","arc","phase0","ARC-001","done","P0","codex","3","0","","DB schema semver + migration policy documented"
"INFRA-001","Bootstrap Rust workspace skeleton","infra","phase0","ARC-001","done","P0","codex","3","0","","All crates compile with placeholder code"
"INFRA-002","Add workspace lint policy","infra","phase0","INFRA-001","todo","P0","unassigned","3","0","","`unsafe_code = ""forbid""` and lint config active"
"INFRA-003","Add root package scripts and hooks","infra","phase0","INFRA-001","todo","P0","unassigned","3","0","","`package.json`, husky, lint-staged, commitlint aligned"
"INFRA-004","Add CI workflow for Rust gates","infra","phase0","INFRA-003","todo","P0","unassigned","3","0","","CI runs format/lint/check/test/build"
"INFRA-005","Add CI workflow for Swift build","infra","phase0","ARC-002","todo","P0","unassigned","3","0","","Swift target build/test job passes"
"INFRA-006","Add cargo audit gate","infra","phase0","INFRA-004","todo","P0","unassigned","3","0","","security audit job integrated in CI"
"INFRA-007","Add benchmark harness scaffold","infra","phase0","DOC-006","todo","P0","unassigned","3","0","","bench crate + baseline datasets checked in"
"INFRA-008","Add release profile tuning","infra","phase0","INFRA-001","todo","P0","unassigned","3","0","","release profile matches performance policy"
"SDK-001","Implement path canonicalization service","sdk","phase1","INFRA-001","todo","P1","unassigned","3","0","","Handles unicode, symlink, case policy tests"
"SDK-002","Implement vault scan service","sdk","phase1","SDK-001","todo","P1","unassigned","3","0","","Full scan returns normalized file manifest"
"SDK-003","Implement file fingerprint service","sdk","phase1","SDK-002","todo","P1","unassigned","3","0","","mtime/size/hash fingerprint logic tested"
"SDK-004","Implement markdown ingest pipeline shell","sdk","phase1","SDK-002","todo","P1","unassigned","3","0","","Parser entrypoints and pipeline orchestrator compile"
"SDK-005","Implement rendered html cache policy","sdk","phase1","SDK-004","todo","P1","unassigned","3","0","","hash-keyed render cache with eviction policy"
"SDK-006","Implement SDK transaction coordinator","sdk","phase1","DB-004","todo","P1","unassigned","3","0","","write operations use typed transaction API"
"SDK-007","Implement domain event bus","sdk","phase1","ARC-004","todo","P1","unassigned","3","0","","publish/subscribe event delivery tested"
"SDK-008","Implement note create/update/delete services","sdk","phase1","SDK-006","todo","P1","unassigned","3","0","","CRUD flows pass integration tests"
"SDK-009","Implement note rename/move services","sdk","phase1","SDK-008","todo","P1","unassigned","3","0","","path + link re-resolution integration tests"
"SDK-010","Implement health snapshot service","sdk","phase1","SDK-002","todo","P1","unassigned","3","0","","reports index lag, db status, watcher status"
"SDK-011","Implement import/export service boundaries","sdk","phase2","SDK-008","todo","P1","unassigned","3","0","","clear interfaces for future import jobs"
"SDK-012","Implement failure-safe rollback paths","sdk","phase2","SDK-006","todo","P1","unassigned","3","0","","failed writes rollback with no index corruption"
"SDK-013","Implement idempotent reconcile service","sdk","phase2","SDK-003","todo","P1","unassigned","3","0","","repeated reconcile yields stable state"
"SDK-014","Implement service-level tracing hooks","sdk","phase2","INFRA-004","todo","P1","unassigned","3","0","","structured traces with correlation ids"
"SDK-015","Implement SDK config loader","sdk","phase2","INFRA-001","todo","P1","unassigned","3","0","","config precedence and validation tests"
